iter	Passed	Remaining
0	1	125
1	2	115
2	3	110
3	4	102
4	5	101
5	6	99
6	7	98
7	8	97
8	9	96
9	10	95
10	11	94
11	12	92
12	13	91
13	14	90
14	15	88
15	16	87
16	17	86
17	18	85
18	19	84
19	20	83
20	21	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	30	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	63
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
