iter	RMSE
0	15.06444844
1	14.68456647
2	14.30083191
3	13.91805246
4	13.58415007
5	13.25380605
6	12.94340892
7	12.65855593
8	12.37016762
9	12.06808418
10	11.78112399
11	11.53245305
12	11.28757075
13	11.06490965
14	10.81871002
15	10.56917681
16	10.34989328
17	10.13975097
18	9.915479336
19	9.731578438
20	9.555731406
21	9.406699838
22	9.229640589
23	9.067401234
24	8.912839404
25	8.784176685
26	8.637135092
27	8.494232801
28	8.353176168
29	8.233195253
30	8.125558128
31	8.015989323
32	7.901865371
33	7.785371553
34	7.68091018
35	7.583468183
36	7.481003042
37	7.411481496
38	7.318562321
39	7.237324495
40	7.160420908
41	7.098586283
42	7.016792658
43	6.94866106
44	6.881308936
45	6.812021787
46	6.744771121
47	6.686965462
48	6.622423952
49	6.567686742
50	6.514189326
51	6.457622815
52	6.408544259
53	6.361717793
54	6.314550977
55	6.2722694
56	6.233050154
57	6.198542909
58	6.162762848
59	6.131116762
60	6.101431634
61	6.06794778
62	6.035714376
63	5.999510436
64	5.968790344
65	5.938785624
66	5.910183803
67	5.882245658
68	5.856792849
69	5.832092725
70	5.810433933
71	5.78942407
72	5.769145655
73	5.744542868
74	5.717647348
75	5.699600349
76	5.681243074
77	5.66389648
78	5.648995411
79	5.629152849
80	5.612654479
81	5.597539991
82	5.580036072
83	5.56820618
84	5.554661468
85	5.5344679
86	5.519947712
87	5.509667977
88	5.495300935
89	5.476647356
90	5.46467342
91	5.454359716
92	5.440563588
93	5.433821997
94	5.424838613
95	5.414065654
96	5.401631069
97	5.39132225
98	5.384312158
99	5.373974139
100	5.362497729
101	5.352577008
102	5.342644204
103	5.332907787
104	5.323785864
105	5.316677337
106	5.305637007
107	5.30044622
108	5.292781168
109	5.285138661
110	5.276469586
111	5.270869558
112	5.258693725
113	5.254502874
114	5.247683844
115	5.242009288
116	5.233496525
117	5.227911458
118	5.219797245
119	5.214656921
120	5.2091218
121	5.202720843
122	5.196554137
123	5.18859926
124	5.185762939
125	5.178585429
126	5.17473143
127	5.168645243
128	5.162186653
129	5.157802617
130	5.150000075
131	5.14797956
132	5.142756844
133	5.138073556
134	5.133766915
135	5.129672653
136	5.12611202
137	5.121252582
138	5.117680571
139	5.114640047
140	5.109198936
141	5.104581128
142	5.099391037
143	5.092239939
144	5.087155345
145	5.084582889
146	5.078832444
147	5.074226642
148	5.068251989
149	5.064432236
150	5.058428851
151	5.053726219
152	5.049664902
153	5.043641931
154	5.040217517
155	5.037616407
156	5.033664953
157	5.031464677
158	5.023799083
159	5.019979754
160	5.016218823
161	5.012294366
162	5.005361229
163	5.001681121
164	4.99528714
165	4.988280116
166	4.983659527
167	4.978423061
168	4.973579967
169	4.968260093
170	4.965395059
171	4.962654277
172	4.958525428
173	4.955469705
174	4.951630062
175	4.945995599
176	4.939076701
177	4.93633901
178	4.930299514
179	4.927110148
180	4.922959965
181	4.917783426
182	4.913119961
183	4.91004153
184	4.906134864
185	4.901716956
186	4.89856803
187	4.895801891
188	4.892757135
189	4.888249619
190	4.88376876
191	4.880160009
192	4.87675806
193	4.876571592
194	4.871188616
195	4.87097882
196	4.865290238
197	4.862042772
198	4.858495214
199	4.855322612
200	4.852216267
201	4.848854166
202	4.847277099
203	4.841127567
204	4.838308757
205	4.833653314
206	4.831510292
207	4.828208606
208	4.826652558
209	4.823695499
210	4.819591011
211	4.815189413
212	4.813033216
213	4.810414267
214	4.807250567
215	4.802559212
216	4.799668858
217	4.795282799
218	4.793458654
219	4.790174934
220	4.787425296
221	4.781008092
222	4.777826428
223	4.773641974
224	4.771730511
225	4.7690826
226	4.764980736
227	4.762768585
228	4.758380385
229	4.755306499
230	4.750362205
231	4.744640723
232	4.742788403
233	4.738392344
234	4.734676154
235	4.731782863
236	4.727081955
237	4.724185152
238	4.719850553
239	4.717717585
240	4.713353336
241	4.709587004
242	4.706842752
243	4.704559038
244	4.696915776
245	4.69395734
246	4.688749356
247	4.685278097
248	4.683817343
249	4.679995295
250	4.678095517
251	4.675261727
252	4.669822255
253	4.667038376
254	4.662595956
255	4.659374153
256	4.657991932
257	4.653512957
258	4.650886486
259	4.647447078
260	4.644131513
261	4.636928237
262	4.634553253
263	4.628702442
264	4.624688741
265	4.622874003
266	4.618861078
267	4.615712103
268	4.610787179
269	4.607146839
270	4.602779391
271	4.596118456
272	4.591792235
273	4.586249414
274	4.584138039
275	4.580010943
276	4.57592994
277	4.572421724
278	4.568690229
279	4.56369737
280	4.560358055
281	4.553837162
282	4.548051887
283	4.545647326
284	4.540127426
285	4.53811026
286	4.533763947
287	4.530448042
288	4.524095677
289	4.522005777
290	4.518437259
291	4.516526308
292	4.510602804
293	4.506765231
294	4.505806548
295	4.50250153
296	4.498302271
297	4.492264244
298	4.489939542
299	4.484672118
300	4.479788996
301	4.478397934
302	4.47807024
303	4.476264678
304	4.474049532
305	4.471490903
306	4.468768397
307	4.466770002
308	4.463714014
309	4.458434529
310	4.453141845
311	4.447189986
312	4.441879767
313	4.439545561
314	4.435764642
315	4.430822608
316	4.429744135
317	4.426216575
318	4.423887004
319	4.421000448
320	4.416571361
321	4.413869987
322	4.41148377
323	4.405898521
324	4.404032951
325	4.399183946
326	4.398540666
327	4.395731597
328	4.392049957
329	4.389846178
330	4.385867625
331	4.382115935
332	4.376464912
333	4.371046435
334	4.365614392
335	4.362011663
336	4.360522528
337	4.358997766
338	4.354804733
339	4.35096993
340	4.345346708
341	4.342965316
342	4.34075195
343	4.337719966
344	4.334217685
345	4.330038615
346	4.326890721
347	4.322469901
348	4.320206868
349	4.317260192
350	4.31551481
351	4.309462174
352	4.304832673
353	4.301703063
354	4.296799088
355	4.291994696
356	4.289363497
357	4.283411003
358	4.280485403
359	4.275254337
360	4.272257024
361	4.269922167
362	4.268201163
363	4.267169764
364	4.263620381
365	4.260939429
366	4.260147392
367	4.257593537
368	4.25450711
369	4.253159014
370	4.252484786
371	4.25077959
372	4.249591852
373	4.248849868
374	4.243827196
375	4.242805808
376	4.240011717
377	4.235443847
378	4.229739733
379	4.228583184
380	4.22516883
381	4.22236562
382	4.222141863
383	4.217895288
384	4.214840089
385	4.212151411
386	4.209734544
387	4.2046293
388	4.199937705
389	4.194983581
390	4.190960156
391	4.186416802
392	4.184552949
393	4.182593883
394	4.178961563
395	4.174636396
396	4.174028425
397	4.170331109
398	4.168613876
399	4.164206373
400	4.163523861
401	4.158691508
402	4.153671602
403	4.15030289
404	4.145737466
405	4.143262347
406	4.138170186
407	4.13546089
408	4.133514426
409	4.131199086
410	4.128776724
411	4.128122142
412	4.122953955
413	4.120427559
414	4.118345702
415	4.116520923
416	4.112316471
417	4.108724661
418	4.106426155
419	4.102631887
420	4.100967088
421	4.098308994
422	4.09665272
423	4.094304221
424	4.090760987
425	4.086267709
426	4.07999022
427	4.075135389
428	4.073844765
429	4.071900444
430	4.065933737
431	4.065076358
432	4.062071194
433	4.059370342
434	4.05876625
435	4.056594934
436	4.052904335
437	4.049663301
438	4.04736153
439	4.044168309
440	4.041053215
441	4.039090398
442	4.038178802
443	4.036613206
444	4.033611076
445	4.03148246
446	4.030192601
447	4.028731579
448	4.027878698
449	4.023645005
450	4.020872667
451	4.018690603
452	4.014940946
453	4.009290486
454	4.003636415
455	3.998827249
456	3.997898212
457	3.993574337
458	3.991624142
459	3.988536087
460	3.985473521
461	3.981808725
462	3.979879488
463	3.974668951
464	3.972783719
465	3.971107043
466	3.966205062
467	3.965404686
468	3.960663618
469	3.957708023
470	3.955171793
471	3.952119959
472	3.949826662
473	3.94800696
474	3.94353558
475	3.939771837
476	3.937673559
477	3.935364645
478	3.932352103
479	3.930357175
480	3.929056483
481	3.927481186
482	3.926160544
483	3.924202508
484	3.918671571
485	3.917521307
486	3.916269676
487	3.914701582
488	3.912647028
489	3.910665765
490	3.907961348
491	3.906947923
492	3.903387819
493	3.900330256
494	3.899004615
495	3.895538454
496	3.893142707
497	3.891849231
498	3.888995968
499	3.885891308
500	3.880263947
501	3.876264836
502	3.875764287
503	3.872796334
504	3.872404339
505	3.869123286
506	3.86750397
507	3.863394185
508	3.862103791
509	3.860713584
510	3.857345386
511	3.853057692
512	3.848830941
513	3.847774697
514	3.846508811
515	3.844519894
516	3.842640424
517	3.840670529
518	3.835226726
519	3.833469867
520	3.832215176
521	3.829689292
522	3.828072873
523	3.823722823
524	3.822992486
525	3.820615758
526	3.81990255
527	3.817011196
528	3.813910675
529	3.812922017
530	3.81173022
531	3.810576554
532	3.810241902
533	3.806326271
534	3.805531564
535	3.80234176
536	3.800390673
537	3.796485363
538	3.793810614
539	3.789334454
540	3.785254728
541	3.783039324
542	3.779903541
543	3.774792322
544	3.772785411
545	3.769284288
546	3.76830308
547	3.766090239
548	3.76244339
549	3.759631445
550	3.758751258
551	3.756815564
552	3.752985412
553	3.750965117
554	3.749172949
555	3.744186256
556	3.743533635
557	3.740999641
558	3.736952206
559	3.734772396
560	3.728733882
561	3.72838489
562	3.726867785
563	3.723761155
564	3.721015506
565	3.717749406
566	3.71671582
567	3.716195913
568	3.713008852
569	3.712413371
570	3.71055084
571	3.709011433
572	3.706583599
573	3.705415909
574	3.703356098
575	3.700005951
576	3.699361236
577	3.697931238
578	3.696768633
579	3.693193958
580	3.690049412
581	3.686845546
582	3.685775806
583	3.683641972
584	3.683184473
585	3.67881325
586	3.677831672
587	3.673630193
588	3.673095698
589	3.668318871
590	3.662754976
591	3.660974161
592	3.659378183
593	3.657659563
594	3.657268218
595	3.65649402
596	3.656218508
597	3.653923654
598	3.648609721
599	3.648001402
600	3.647735926
601	3.645602331
602	3.643909129
603	3.642070079
604	3.641227694
605	3.640127207
606	3.637964014
607	3.636237074
608	3.633241448
609	3.631014153
610	3.627624933
611	3.626220178
612	3.623961438
613	3.620761188
614	3.616565162
615	3.614614906
616	3.61136258
617	3.610123386
618	3.608911129
619	3.607569244
620	3.605465736
621	3.603424549
622	3.602208082
623	3.599718418
624	3.597532548
625	3.595912872
626	3.594904001
627	3.592637457
628	3.590693118
629	3.588110177
630	3.586087386
631	3.582789981
632	3.58103196
633	3.579052637
634	3.57624291
635	3.573981206
636	3.570956
637	3.56911356
638	3.564344392
639	3.561283798
640	3.559598254
641	3.557274446
642	3.554064866
643	3.552418246
644	3.550807191
645	3.547922894
646	3.5464908
647	3.543707621
648	3.540398553
649	3.539213591
650	3.534967597
651	3.53374762
652	3.531158753
653	3.527807498
654	3.525241326
655	3.523105082
656	3.520035283
657	3.516791685
658	3.512727873
659	3.50990587
660	3.507878302
661	3.503595417
662	3.502553487
663	3.500451574
664	3.499903719
665	3.498082595
666	3.497772024
667	3.494792618
668	3.494400789
669	3.492484386
670	3.491580736
671	3.487244132
672	3.484120628
673	3.48198625
674	3.479556716
675	3.476242821
676	3.474155266
677	3.473307261
678	3.470099609
679	3.469276509
680	3.467834175
681	3.464846336
682	3.462260665
683	3.459633988
684	3.459502014
685	3.455616665
686	3.454811356
687	3.454385662
