iter	Passed	Remaining
0	139	139478
1	144	72094
2	152	50755
3	157	39305
4	162	32416
5	169	28145
6	175	24889
7	180	22413
8	185	20436
9	193	19171
10	199	17915
11	204	16804
12	209	15939
13	215	15154
14	219	14441
15	226	13910
16	231	13368
17	236	12882
18	241	12453
19	245	12030
20	250	11685
21	256	11395
22	261	11093
23	265	10795
24	268	10479
25	271	10178
26	274	9894
27	277	9631
28	280	9407
29	283	9154
30	285	8920
31	287	8697
32	289	8481
33	291	8270
34	292	8072
35	295	7907
36	297	7731
37	298	7562
38	300	7405
39	302	7254
40	304	7116
41	305	6978
42	307	6847
43	310	6736
44	311	6618
45	313	6502
46	315	6391
47	316	6285
48	318	6183
49	320	6086
50	322	5992
51	324	5910
52	326	5829
53	328	5746
54	329	5666
55	331	5589
56	333	5513
57	335	5441
58	336	5369
59	338	5309
60	340	5246
61	342	5181
62	344	5119
63	345	5057
64	347	4998
65	349	4941
66	351	4887
67	353	4838
68	355	4798
69	357	4747
70	359	4697
71	360	4650
72	362	4601
73	364	4556
74	365	4512
75	367	4473
76	370	4440
77	372	4400
78	373	4359
79	375	4319
80	377	4280
81	378	4242
82	380	4205
83	382	4171
84	385	4144
85	386	4109
86	388	4075
87	389	4041
88	391	4009
89	393	3977
90	395	3946
91	396	3916
92	399	3892
93	400	3860
94	402	3831
95	404	3806
96	405	3778
97	407	3750
98	409	3723
99	410	3697
100	413	3679
101	415	3660
102	417	3636
103	419	3612
104	421	3589
105	422	3566
106	424	3544
107	426	3522
108	429	3510
109	431	3490
110	433	3470
111	434	3447
112	436	3427
113	438	3406
114	440	3387
115	442	3370
116	444	3356
117	446	3338
118	448	3319
119	450	3301
120	451	3282
121	453	3264
122	455	3247
123	457	3230
124	459	3217
125	461	3201
126	463	3183
127	464	3167
128	466	3151
129	468	3135
130	470	3118
131	471	3098
132	473	3088
133	475	3076
134	477	3060
135	479	3045
136	481	3029
137	482	3015
138	484	3002
139	486	2991
140	489	2981
141	491	2967
142	492	2954
143	494	2940
144	496	2926
145	498	2913
146	499	2901
147	501	2887
148	504	2878
149	506	2871
150	508	2859
151	510	2847
152	512	2834
153	513	2822
154	515	2810
155	517	2798
156	519	2788
157	521	2779
158	523	2767
159	524	2755
160	526	2744
161	528	2732
162	530	2722
163	531	2711
164	534	2703
165	536	2693
166	537	2682
167	539	2672
168	541	2661
169	543	2651
170	544	2641
171	546	2630
172	548	2623
173	550	2614
174	552	2604
175	554	2594
176	555	2584
177	557	2576
178	560	2569
179	563	2565
180	565	2560
181	567	2551
182	569	2541
183	570	2532
184	572	2523
185	574	2513
186	575	2504
187	578	2497
188	580	2490
189	582	2481
190	583	2472
191	585	2462
192	586	2453
193	587	2440
194	589	2432
195	590	2420
196	592	2414
197	594	2408
198	596	2401
199	598	2393
200	599	2384
201	601	2376
202	603	2368
203	604	2360
204	606	2352
205	608	2345
206	610	2339
207	612	2331
208	614	2323
209	615	2316
210	617	2308
211	619	2301
212	620	2294
213	622	2287
214	624	2281
215	626	2274
216	628	2266
217	629	2259
218	631	2252
219	633	2245
220	634	2238
221	637	2232
222	639	2228
223	641	2222
224	643	2215
225	644	2208
226	646	2201
227	648	2195
228	649	2188
229	651	2181
230	654	2177
231	656	2172
232	657	2165
233	659	2159
234	661	2152
235	662	2145
236	664	2138
237	666	2132
238	668	2128
239	670	2122
240	672	2116
241	673	2110
242	675	2104
243	677	2098
244	679	2092
245	680	2086
246	683	2082
247	685	2077
248	686	2071
249	688	2065
250	690	2059
251	692	2054
252	693	2048
253	695	2043
254	697	2038
255	700	2034
256	701	2029
257	703	2024
258	705	2018
259	707	2013
260	709	2007
261	710	2002
262	712	1997
263	715	1994
264	717	1989
265	718	1983
266	720	1978
267	722	1973
268	724	1967
269	725	1961
270	727	1957
271	729	1953
272	731	1948
273	733	1943
274	735	1937
275	736	1932
276	738	1927
277	740	1922
278	741	1917
279	744	1915
280	746	1909
281	748	1905
282	749	1899
283	751	1894
284	753	1890
285	754	1884
286	756	1880
287	759	1877
288	761	1872
289	762	1867
290	764	1862
291	766	1857
292	768	1853
293	769	1848
294	771	1843
295	773	1840
296	775	1835
